0,54,67,35,43
1,29,28,15,16
2,32,50,19,33
3,55,83,38,51
4,61,62,49,50
5,46,54,34,42
6,25,35,18,26
7,15,22,8,17
8,11,9,9,6
9,22,29,14,23
10,25,26,20,18
11,17,15,10,11
12,40,14,20,10
13,51,38,48,28
14,94,95,80,70
15,58,47,57,42
16,49,68,41,64
17,35,38,22,26
18,32,30,18,18
19,28,31,15,22
20,25,37,19,25
21,29,40,15,21
22,73,88,44,65
23,66,72,46,54
24,37,37,22,24
25,23,30,17,31
26,65,100,56,99
27,65,81,49,60
28,57,65,56,69
29,43,43,36,35
30,44,49,36,36
31,30,42,18,26
32,26,32,17,24
33,15,19,15,20
34,43,53,31,41
35,43,52,30,39
36,18,35,12,21
37,37,63,30,57
38,55,68,54,64
39,25,28,18,21
40,30,39,22,32
41,19,19,14,17
42,40,41,31,27
43,34,49,26,40
44,20,30,18,26
45,16,24,17,17
46,13,25,14,21
47,11,20,11,15
48,22,35,14,20
49,15,23,9,15
50,10,23,8,8
51,72,97,81,89
52,79,84,65,84
53,33,35,22,23
54,22,29,18,24
55,25,37,18,29
56,30,42,24,23
57,41,53,30,29
58,41,51,30,33
59,100,89,100,69
60,83,95,68,73
61,35,40,28,26
62,20,24,23,19
63,26,28,24,23
64,23,37,20,22
65,0,0,0,0
66,30,38,23,20
67,25,43,17,18
68,50,52,20,22
69,35,44,21,28
70,23,40,14,20
71,18,39,14,22
72,14,30,14,15
73,52,98,50,76
74,30,56,23,36
75,23,32,18,22
76,27,44,17,30
77,18,35,15,26
78,20,35,20,24
79,5,10,4,6
80,15,18,17,14
81,8,24,5,7
82,12,23,9,6
83,1,4,1,2
84,41,67,43,66
85,25,44,23,34
86,2,4,1,1
87,6,18,4,5
88,3,12,1,3
89,16,32,16,22
90,11,20,12,15
